t_contact_s,theta_err_t1_deg,theta_err_t2_deg,total_error_deg,fn_est_N,moment_t1_est_Nm,old_gamma_t1_deg,tool_normal_x,tool_normal_y,tool_normal_z
2.735,8.026600036,2.22662622,8.32971623,-75.756390095,2.18645347732,1.26903902029,-0.0557819034592,0.112191431516,-0.992119681259
2.736,8.025508053,2.227017532,8.328768612,-75.9806385488,2.2301380813,1.27003416617,-0.0557887802069,0.11217249717,-0.992121435552
2.737,8.024507411,2.226734828,8.327728813,-76.1473894506,2.2784937875,1.27094259652,-0.0557839437167,0.11215514884,-0.992123668809
2.738,8.02299734,2.227976768,8.326605959,-76.2573811165,2.33212286866,1.27233764554,-0.0558056261702,0.112128959605,-0.992125409666
2.739,8.021422495,2.228851369,8.325322653,-76.30113428,2.39059599343,1.27379033531,-0.0558209327772,0.112101650433,-0.992127634649
2.74,8.019459185,2.230099696,8.323765391,-76.2682218099,2.45060966828,1.27563882462,-0.0558427594453,0.112067603289,-0.992130252795
2.741,8.017524432,2.230843255,8.322100675,-76.1760327397,2.50642258225,1.27747231007,-0.0558558163579,0.112034053452,-0.992133306893
2.742,8.014869612,2.231465002,8.319709788,-76.0518085082,2.55158463338,1.28005626837,-0.0558668105771,0.111988019395,-0.992137885068
2.743,8.012223474,2.232305782,8.317386254,-75.9064707463,2.5809789439,1.28264405909,-0.0558816081822,0.111942134102,-0.992142229965
2.744,8.009376492,2.233246444,8.314896359,-75.738009696,2.59199095343,1.28544783658,-0.0558981563439,0.111892765895,-0.992146866677
2.745,8.006376905,2.233134306,8.3119769,-75.5514385111,2.5856872547,1.2884358969,-0.0558964291765,0.111840755458,-0.99215282826
2.746,8.003102074,2.233737206,8.308984578,-75.3519880721,2.56420634692,1.29171873138,-0.0559071410341,0.111783969935,-0.992158624237
2.747,8.000021972,2.234699569,8.306276767,-75.1424222247,2.52903195125,1.29483606696,-0.0559240825285,0.111730559073,-0.99216368567
2.748,7.997204133,2.234749132,8.303576195,-74.9434971558,2.48236360404,1.29769754582,-0.0559251510772,0.111681698952,-0.992169126508
2.749,7.994244679,2.234486007,8.300655137,-74.7900471714,2.42914517883,1.30072938284,-0.0559207981553,0.111630384481,-0.992175146632
2.75,7.991153609,2.234053698,8.297561806,-74.6959425292,2.37386830306,1.30389419743,-0.0559135160301,0.111576787686,-0.992181585787
2.751,7.988233092,2.23289189,8.294436335,-74.6571497046,2.3193631674,1.30689912377,-0.055893551004,0.11152615214,-0.992188403654
2.752,7.985783311,2.231676589,8.291749845,-74.6787189464,2.26763957335,1.30944045727,-0.0558726218697,0.111483678046,-0.992194355787
2.753,7.983511431,2.230454503,8.2892329,-74.7684817505,2.21878404049,1.3118119597,-0.0558515618875,0.111444289357,-0.99219996644
2.754,7.981686442,2.229263041,8.287154648,-74.9185110543,2.17590081009,1.31370591641,-0.0558310008363,0.111412649294,-0.992204676931
2.755,7.980364569,2.228881882,8.285778967,-75.1114297617,2.14452689147,1.31509742786,-0.0558244766582,0.111389729373,-0.992207617385
2.756,7.979600233,2.227345676,8.284629663,-75.3339395791,2.12623518353,1.31592574488,-0.0557978502428,0.111376482794,-0.992210602135
2.757,7.978862732,2.22632348,8.283644532,-75.5810053835,2.12100414541,1.31670461155,-0.0557801491247,0.111363698758,-0.992213032349
2.758,7.978170971,2.225086476,8.282645825,-75.84303388,2.12946524941,1.31741755142,-0.0557587139696,0.111351708889,-0.992215582796
2.759,7.97759408,2.223827847,8.281752085,-76.1080947512,2.15131541442,1.31798735474,-0.0557368944082,0.111341711495,-0.99221793064
2.76,7.976864274,2.223580514,8.280982668,-76.3651834993,2.18575061379,1.31866706473,-0.0557326516184,0.111329057104,-0.992219588895
2.761,7.975959575,2.223866495,8.280188001,-76.5984744171,2.2289689435,1.31951851477,-0.0557376849984,0.111313368054,-0.992221066378
2.762,7.975053486,2.224253471,8.279419159,-76.7948256339,2.27764839079,1.32034508771,-0.0557444730079,0.11129765466,-0.992222447739
2.763,7.97413518,2.224783433,8.278677019,-76.9564464414,2.33083311124,1.32118122762,-0.0557537453491,0.111281728477,-0.992223713074
2.764,7.972876327,2.224974251,8.277515771,-77.0856879837,2.38551501229,1.32234633807,-0.0557571514096,0.111259899378,-0.992225969655
