t_contact_s,theta_err_t1_deg,theta_err_t2_deg,total_error_deg,fn_est_N,moment_t1_est_Nm,old_gamma_t1_deg,tool_normal_x,tool_normal_y,tool_normal_z
1.385,9.141469819,2.150069178,9.390914115,-37.1502425806,2.01441048293,0.123321736927,-0.0543657139017,0.131499856686,-0.989824306048
1.386,9.141428513,2.150223429,9.390909224,-37.2146631512,2.01791961271,0.123365090043,-0.0543683937183,0.131499140624,-0.989824253986
1.387,9.141510384,2.150035041,9.390945787,-37.2822918107,2.02020208332,0.123281571275,-0.0543651179209,0.131500559278,-0.989824245441
1.388,9.141446774,2.149875464,9.390847332,-37.3540437861,2.02048564806,0.123344059197,-0.0543623535991,0.131499459557,-0.989824543365
1.389,9.141426689,2.150421687,9.390952845,-37.4197405702,2.01821297782,0.123358857413,-0.05437183413,0.131499108052,-0.989824069335
1.39,9.141419714,2.150427116,9.390947299,-37.4654895746,2.01465104411,0.123364723945,-0.0543719291754,0.13149898713,-0.989824080179
1.391,9.141376535,2.150314091,9.390879387,-37.4993195816,2.01134446036,0.12341691002,-0.0543699711974,0.131498241605,-0.989824286774
1.392,9.141343932,2.150145948,9.39080915,-37.5328636911,2.00808501582,0.123447688402,-0.0543670565965,0.13149767859,-0.989824521662
1.393,9.141351206,2.150430266,9.390881333,-37.5629760176,2.00522807381,0.123437083019,-0.0543719892729,0.131497802364,-0.989824234274
1.394,9.141340146,2.150355987,9.390853557,-37.58973122,2.00367879058,0.123452099139,-0.0543707011631,0.131497611362,-0.989824330405
1.395,9.141379282,2.150603996,9.390948447,-37.6198521266,2.00366067876,0.123413850838,-0.0543750012574,0.131498286791,-0.989824004462
1.396,9.141324581,2.150909028,9.390965059,-37.6502354285,2.00475636386,0.123467640056,-0.0543802994689,0.13149733787,-0.98982383946
1.397,9.141444387,2.1513946,9.391192906,-37.665861193,2.00651941724,0.123343541518,-0.0543887160111,0.131499405895,-0.989823102286
1.398,9.141238931,2.151229206,9.390955026,-37.6605055733,2.00851285369,0.123547027203,-0.0543858629264,0.131495853153,-0.989823731034
1.399,9.14126544,2.151731336,9.391095868,-37.6380028608,2.01026428125,0.123524151587,-0.0543945741532,0.131496308132,-0.989823191914
1.4,9.141288971,2.151562361,9.391080057,-37.5997195747,2.01117472349,0.123508244688,-0.0543916403442,0.131496716168,-0.989823298926
1.401,9.141278958,2.15187442,9.391141811,-37.5514155088,2.0116269636,0.123519219228,-0.0543970562117,0.131496540548,-0.989823024636
1.402,9.141252105,2.151993456,9.391142949,-37.4991308956,2.01216797218,0.123543910712,-0.0543991234605,0.131496074833,-0.989822972895
1.403,9.14120878,2.152115224,9.391128681,-37.4493057455,2.01269869029,0.123593355715,-0.0544012398685,0.131495324726,-0.989822956228
1.404,9.141177451,2.15233403,9.39114833,-37.4136635249,2.01283135764,0.123614056616,-0.0544050398112,0.131494780194,-0.989822819713
1.405,9.14119642,2.152352498,9.391171027,-37.4000500186,2.01316528347,0.123589322324,-0.0544053588036,0.131495108614,-0.98982275855
1.406,9.141114028,2.152219192,9.391060277,-37.4119606677,2.01472220966,0.123666231511,-0.0544030526983,0.131493684096,-0.989823074544
1.407,9.14117434,2.152210389,9.391116966,-37.4473158719,2.01727870899,0.123612120695,-0.0544028949095,0.131494727449,-0.989822944611
1.408,9.141154748,2.152551076,9.391175979,-37.4974524217,2.0195842874,0.123635258003,-0.0544088081136,0.131494385967,-0.989822664955
1.409,9.141051922,2.152197211,9.390994787,-37.5573944602,2.02122413719,0.123741243579,-0.0544026762219,0.131492610241,-0.989823237892
1.41,9.141069063,2.152148305,9.391000263,-37.6284903894,2.02301009608,0.12372445963,-0.0544018261871,0.131492906965,-0.989823245194
1.411,9.140997527,2.152432475,9.390995759,-37.7066307201,2.02629804076,0.12378388745,-0.0544067628486,0.131491667353,-0.989823138532
1.412,9.141123195,2.152314441,9.391091029,-37.7804218779,2.03101936196,0.123661156274,-0.054404704019,0.13149384219,-0.98982296278
1.413,9.14108618,2.152392036,9.391072784,-37.8436680787,2.03558833499,0.123707210084,-0.0544060542868,0.13149320096,-0.989822973747
1.414,9.14122068,2.15232464,9.391188257,-37.8963344865,2.03871862643,0.12357942495,-0.0544048730185,0.13149552876,-0.989822729436
1.415,9.141263525,2.152267744,9.391216922,-37.940712939,2.0404257801,0.123528173589,-0.0544038823296,0.131496270417,-0.98982268536
1.416,9.141068125,2.152010579,9.390967788,-37.9763683385,2.04116034615,0.123730822858,-0.0543994363221,0.131492892505,-0.989823378461
1.417,9.141099985,2.152157526,9.391032475,-37.9998364309,2.04065290078,0.123704863512,-0.054401982811,0.131493442473,-0.989823165446
1.418,9.141215758,2.152490026,9.391221371,-38.0170521931,2.03955137477,0.123576764117,-0.0544077435045,0.131495441855,-0.989822583203
1.419,9.140954227,2.152040814,9.39086385,-38.0380744825,2.03862217088,0.123845106807,-0.0543999699251,0.131490922262,-0.989823610869
